,Beds,Location,Price,Sq ft,Taxes,Type of Unit,link
40,"Beds: 2, Baths: 2",Bloor/Yonge,"$795,000",Approx 800-899 sq ft,"Taxes  (2019) : $ 3,066",Condominium,http://www.toronto-realestate.biz//listings/2491962-toronto-ontario-c4498374
41,"Beds: 2 + 1, Baths: 2",Yonge/College/Wellesley,"$799,000",Approx 1000-1199 sq ft,"Taxes  (2018) : $ 2,818",Condominium,http://www.toronto-realestate.biz//listings/2490896-toronto-ontario-c4496473
42,"Beds: 2 + 1, Baths: 2",Yonge And Bloor,"$819,900",Approx 900-999 sq ft,"Taxes  (2018) : $ 3,209",Condominium,http://www.toronto-realestate.biz//listings/2481844-toronto-ontario-c4481053
43,"Beds: 1 + 1, Baths: 2",Church St/ Lombard St,"$825,000",Approx 900-999 sq ft,"Taxes  (2019) : $ 3,300",Condominium,http://www.toronto-realestate.biz//listings/2461062-toronto-ontario-c4446772
44,"Beds: 2, Baths: 2",Bloor/Jarvis/Ted Rogers,"$838,888",Approx 800-899 sq ft,"Taxes  (2018) : $ 3,239",Condominium,http://www.toronto-realestate.biz//listings/2471173-toronto-ontario-c4463282
45,"Beds: 2, Baths: 2",Church/Carlton,"$839,000",Approx 700-799 sq ft,"Taxes  (2018) : $ 2,611",Condominium,http://www.toronto-realestate.biz//listings/2464554-toronto-ontario-c4452312
46,"Beds: 2, Baths: 2",Yonge / Front,"$839,900",Approx 900-999 sq ft,"Taxes  (2018) : $ 3,946",Condominium,http://www.toronto-realestate.biz//listings/2491629-toronto-ontario-c4497748
47,"Beds: 2, Baths: 2",Yonge/Wellesley,"$848,000",Approx 600-699 sq ft, ,Condominium,http://www.toronto-realestate.biz//listings/2477743-toronto-ontario-c4474275
48,"Beds: 2, Baths: 2",Yonge And Wellesley,"$849,000",Approx 900-999 sq ft,"Taxes  (2018) : $ 3,274",Condominium,http://www.toronto-realestate.biz//listings/2485783-toronto-ontario-c4487685
49,"Beds: 2, Baths: 2",Yonge St & Front St,"$850,000",Approx 800-899 sq ft,"Taxes  (2018) : $ 3,350",Condominium,http://www.toronto-realestate.biz//listings/2467296-toronto-ontario-c4456800
